id,title,genre,movie_logo
9219,Toy Story,"['Animation', 'Comedy', 'Family']",Toy Story.jpg
9218,Jumanji,"['Adventure', 'Fantasy', 'Family']",Jumanji.jpg
9217,Grumpier Old Men,"['Romance', 'Comedy']",Grumpier Old Men.jpg
9216,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",Waiting to Exhale.jpg
9215,Father of the Bride Part II,['Comedy'],Father of the Bride Part II.jpg
9214,Heat,"['Action', 'Crime', 'Drama', 'Thriller']",Heat.jpg
9213,Sabrina,"['Comedy', 'Romance']",Sabrina.jpg
9212,Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']",Tom and Huck.jpg
9211,Sudden Death,"['Action', 'Adventure', 'Thriller']",Sudden Death.jpg
9210,GoldenEye,"['Adventure', 'Action', 'Thriller']",GoldenEye.jpg
9209,The American President,"['Comedy', 'Drama', 'Romance']",The American President.jpg
9208,Dracula: Dead and Loving It,"['Comedy', 'Horror']",Dracula: Dead and Loving It.jpg
9207,Balto,"['Family', 'Animation', 'Adventure']",Balto.jpg
9206,Nixon,"['History', 'Drama']",Nixon.jpg
9205,Cutthroat Island,"['Action', 'Adventure']",Cutthroat Island.jpg
9204,Casino,"['Drama', 'Crime']",Casino.jpg
9203,Sense and Sensibility,"['Drama', 'Romance']",Sense and Sensibility.jpg
9202,Four Rooms,"['Crime', 'Comedy']",Four Rooms.jpg
9201,Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",Ace Ventura: When Nature Calls.jpg
9200,Money Train,"['Action', 'Comedy', 'Crime']",Money Train.jpg
9199,Get Shorty,"['Comedy', 'Thriller', 'Crime']",Get Shorty.jpg
9198,Copycat,"['Drama', 'Thriller']",Copycat.jpg
9197,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']",Assassins.jpg
9196,Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",Powder.jpg
9195,Leaving Las Vegas,"['Drama', 'Romance']",Leaving Las Vegas.jpg
9194,Othello,['Drama'],Othello.jpg
9193,Now and Then,"['Comedy', 'Drama', 'Family']",Now and Then.jpg
9192,Persuasion,"['Drama', 'Romance']",Persuasion.jpg
9191,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']",The City of Lost Children.jpg
9190,Shanghai Triad,"['Drama', 'Crime']",Shanghai Triad.jpg
9189,Dangerous Minds,"['Drama', 'Crime']",Dangerous Minds.jpg
9188,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",Twelve Monkeys.jpg
9187,Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",Babe.jpg
9186,Carrington,"['History', 'Drama', 'Romance']",Carrington.jpg
9185,Dead Man Walking,['Drama'],Dead Man Walking.jpg
9184,Across the Sea of Time,"['Adventure', 'History', 'Drama', 'Family']",Across the Sea of Time.jpg
9183,It Takes Two,"['Comedy', 'Family', 'Romance']",It Takes Two.jpg
9182,Clueless,"['Comedy', 'Drama', 'Romance']",Clueless.jpg
9181,"Cry, the Beloved Country",['Drama'],"Cry, the Beloved Country.jpg"
9180,Richard III,"['Drama', 'War']",Richard III.jpg
9179,Dead Presidents,"['Action', 'Crime', 'Drama', 'History']",Dead Presidents.jpg
9178,Restoration,"['Drama', 'Romance']",Restoration.jpg
9177,Mortal Kombat,"['Action', 'Fantasy']",Mortal Kombat.jpg
9176,To Die For,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",To Die For.jpg
9175,How To Make An American Quilt,"['Drama', 'Romance']",How To Make An American Quilt.jpg
9174,Se7en,"['Crime', 'Mystery', 'Thriller']",Se7en.jpg
9173,Pocahontas,"['Adventure', 'Animation', 'Drama', 'Family']",Pocahontas.jpg
9172,When Night Is Falling,"['Drama', 'Romance']",When Night Is Falling.jpg
9171,The Usual Suspects,"['Drama', 'Crime', 'Thriller']",The Usual Suspects.jpg
9170,Mighty Aphrodite,"['Comedy', 'Romance']",Mighty Aphrodite.jpg
9169,Lamerica,"['Drama', 'Foreign']",Lamerica.jpg
9168,The Big Green,"['Action', 'Adventure', 'Comedy', 'Family']",The Big Green.jpg
9167,Georgia,['Drama'],Georgia.jpg
9166,Home for the Holidays,"['Comedy', 'Drama', 'Romance']",Home for the Holidays.jpg
9165,The Postman,"['Comedy', 'Drama', 'Romance']",The Postman.jpg
9164,The Confessional,"['Thriller', 'Drama', 'Mystery']",The Confessional.jpg
9163,The Indian in the Cupboard,"['Adventure', 'Family', 'Fantasy']",The Indian in the Cupboard.jpg
9162,Eye for an Eye,"['Drama', 'Thriller']",Eye for an Eye.jpg
9161,Mr. Holland's Opus,"['Music', 'Drama', 'Family']",Mr. Holland's Opus.jpg
9160,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Comedy'],Don't Be a Menace to South Central While Drinking Your Juice in the Hood.jpg
9159,Two If by Sea,"['Comedy', 'Romance']",Two If by Sea.jpg
9158,Bio-Dome,['Comedy'],Bio-Dome.jpg
9157,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Science Fiction']",Lawnmower Man 2: Beyond Cyberspace.jpg
9156,French Twist,"['Comedy', 'Romance']",French Twist.jpg
9155,Friday,['Comedy'],Friday.jpg
9154,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']",From Dusk Till Dawn.jpg
9153,Fair Game,"['Action', 'Thriller', 'Romance']",Fair Game.jpg
9152,Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",Kicking and Screaming.jpg
9151,Les Miserables,"['Drama', 'History']",Les Miserables.jpg
9150,Bed of Roses,"['Drama', 'Romance']",Bed of Roses.jpg
9149,Screamers,"['Horror', 'Science Fiction']",Screamers.jpg
9148,Nico Icon,['Documentary'],Nico Icon.jpg
9147,The Crossing Guard,"['Drama', 'Thriller']",The Crossing Guard.jpg
9146,The Juror,"['Drama', 'Thriller']",The Juror.jpg
9145,The White Balloon,"['Family', 'Drama']",The White Balloon.jpg
