movieId,id
1,862.0
2,8844.0
3,15602.0
4,31357.0
5,11862.0
6,949.0
7,11860.0
8,45325.0
9,9091.0
10,710.0
11,9087.0
12,12110.0
13,21032.0
14,10858.0
15,1408.0
16,524.0
17,4584.0
18,5.0
19,9273.0
20,11517.0
21,8012.0
22,1710.0
23,9691.0
24,12665.0
25,451.0
26,16420.0
27,9263.0
28,17015.0
29,902.0
30,37557.0
31,9909.0
32,63.0
34,9598.0
35,47018.0
36,687.0
37,139405.0
38,33689.0
39,9603.0
40,34615.0
41,31174.0
42,11443.0
43,35196.0
44,9312.0
45,577.0
46,11861.0
47,807.0
48,10530.0
49,8391.0
50,629.0
52,11448.0
53,49133.0
54,26441.0
55,97406.0
57,9089.0
58,11010.0
59,99040.0
60,11359.0
61,17182.0
62,2054.0
63,10607.0
64,19760.0
65,9536.0
66,11525.0
68,4482.0
69,10634.0
70,755.0
71,11859.0
72,28387.0
73,48750.0
74,20927.0
76,9102.0
77,124626.0
78,27526.0
79,9623.0
80,46785.0
81,400.0
82,880.0
83,146599.0
84,188588.0
85,8447.0
86,10534.0
87,17414.0
88,13997.0
89,2086.0
92,9095.0
93,12158.0
94,9283.0
95,9208.0
96,40154.0
97,406.0
98,45549.0
99,63076.0
100,11062.0
101,13685.0
102,47475.0
103,2045.0
104,9614.0
105,688.0
107,10874.0
108,89333.0
110,197.0
111,103.0
112,33542.0
113,43566.0
114,71754.0
116,51352.0
117,16934.0
118,10324.0
119,78406.0
121,32119.0
122,11066.0
123,11104.0
124,37975.0
125,2074.0
126,27793.0
129,110972.0
130,32622.0
131,73067.0
132,11863.0
135,9101.0
137,5757.0
140,9302.0
141,11000.0
144,16388.0
145,9737.0
146,30765.0
147,10474.0
148,22279.0
149,30157.0
150,568.0
151,11780.0
152,34996.0
153,414.0
154,649.0
155,1873.0
156,5894.0
157,1775.0
158,8839.0
159,20649.0
160,10329.0
161,8963.0
162,26564.0
163,8068.0
164,8512.0
165,1572.0
166,13552.0
167,259209.0
168,6520.0
169,9073.0
170,10428.0
171,17447.0
172,9886.0
173,9482.0
174,19326.0
175,9344.0
176,9071.0
177,8973.0
178,15730.0
179,47608.0
180,2293.0
181,9070.0
183,48787.0
184,34574.0
185,1642.0
186,11472.0
187,36196.0
188,11980.0
189,58372.0
190,32646.0
191,10533.0
193,10802.0
194,10149.0
195,18402.0
196,9348.0
198,281.0
199,5967.0
200,79593.0
201,47939.0
202,36834.0
203,9090.0
