id,title,genre,movie_logo
9219,Toy Story,'Animation'| 'Comedy'| 'Family',1.6_245943.jpg
9218,Jumanji,'Adventure'| 'Fantasy'| 'Family',1.6_56415.jpg
9217,Grumpier Old Men,'Romance'| 'Comedy',1.9_270846.jpg
9216,Waiting to Exhale,'Comedy'| 'Drama'| 'Romance',1.9_60666.jpg
9215,Father of the Bride Part II,'Comedy',1.9_96870.jpg
9214,Heat,'Action'| 'Crime'| 'Drama'| 'Thriller',2.1_339034.jpg
9213,Sabrina,'Comedy'| 'Romance',2.1_68291.jpg
9212,Tom and Huck,'Action'| 'Adventure'| 'Drama'| 'Family',2.1_81693.jpg
9211,Sudden Death,'Action'| 'Adventure'| 'Thriller',2.1_88925.jpg
9210,GoldenEye,'Adventure'| 'Action'| 'Thriller',2.2_118589.jpg
9209,The American President,'Comedy'| 'Drama'| 'Romance',2.2_55946.jpg
9208,Dracula: Dead and Loving It,'Comedy'| 'Horror',2.2_57181.jpg
9207,Balto,'Family'| 'Animation'| 'Adventure',2.2_71198.jpg
9206,Nixon,'History'| 'Drama',2.2_93405.jpg
9205,Cutthroat Island,'Action'| 'Adventure',2.3_118836.jpg
9204,Casino,'Drama'| 'Crime',2.3_61765.jpg
9203,Sense and Sensibility,'Drama'| 'Romance',2.3_82815.jpg
9202,Four Rooms,'Crime'| 'Comedy',2.4_109376.jpg
9201,Ace Ventura: When Nature Calls,'Crime'| 'Comedy'| 'Adventure',2.4_114658.jpg
9200,Money Train,'Action'| 'Comedy'| 'Crime',2.4_116839.jpg
9199,Get Shorty,'Comedy'| 'Thriller'| 'Crime',2.4_117550.jpg
9198,Copycat,'Drama'| 'Thriller',2.4_185183.jpg
9197,Assassins,'Action'| 'Adventure'| 'Crime'| 'Thriller',2.4_223250.jpg
9196,Powder,'Drama'| 'Fantasy'| 'Science Fiction'| 'Thriller',2.4_299930.jpg
9195,Leaving Las Vegas,'Drama'| 'Romance',2.4_54673.jpg
9194,Othello,'Drama',2.4_56600.jpg
9193,Now and Then,'Comedy'| 'Drama'| 'Family',2.4_73396.jpg
9192,Persuasion,'Drama'| 'Romance',2.5_168172.jpg
9191,The City of Lost Children,'Fantasy'| 'Science Fiction'| 'Adventure',2.6_116165.jpg
9190,Shanghai Triad,'Drama'| 'Crime',2.6_118665.jpg
9189,Dangerous Minds,'Drama'| 'Crime',2.7_110629.jpg
9188,Twelve Monkeys,'Science Fiction'| 'Thriller'| 'Mystery',2.7_326820.jpg
9187,Babe,'Fantasy'| 'Drama'| 'Comedy'| 'Family',2.7_360916.jpg
9186,Carrington,'History'| 'Drama'| 'Romance',2.7_51134.jpg
9185,Dead Man Walking,'Drama',2.7_93072.jpg
9184,Across the Sea of Time,'Adventure'| 'History'| 'Drama'| 'Family',2.8_101615.jpg
9183,It Takes Two,'Comedy'| 'Family'| 'Romance',2.8_113449.jpg
9182,Clueless,'Comedy'| 'Drama'| 'Romance',2.8_116756.jpg
9181,"Cry, the Beloved Country",'Drama',2.8_118539.jpg
9180,Richard III,'Drama'| 'War',2.8_120598.jpg
9179,Dead Presidents,'Action'| 'Crime'| 'Drama'| 'History',2.8_121261.jpg
9178,Restoration,'Drama'| 'Romance',2.8_266747.jpg
9177,Mortal Kombat,'Action'| 'Fantasy',2.8_46213.jpg
9176,To Die For,'Fantasy'| 'Drama'| 'Comedy'| 'Thriller',2.8_54240.jpg
9175,How To Make An American Quilt,'Drama'| 'Romance',2.8_73043.jpg
9174,Se7en,'Crime'| 'Mystery'| 'Thriller',2.8_99030.jpg
9173,Pocahontas,'Adventure'| 'Animation'| 'Drama'| 'Family',2.9_115834.jpg
9172,When Night Is Falling,'Drama'| 'Romance',2.9_49922.jpg
9171,The Usual Suspects,'Drama'| 'Crime'| 'Thriller',2.9_77942.jpg
9170,Mighty Aphrodite,'Comedy'| 'Romance',2.9_93300.jpg
9169,Lamerica,'Drama'| 'Foreign',3.0_104837.jpg
9168,The Big Green,'Action'| 'Adventure'| 'Comedy'| 'Family',3.0_121262.jpg
9167,Georgia,'Drama',3.0_213802.jpg
9166,Home for the Holidays,'Comedy'| 'Drama'| 'Romance',3.0_223249.jpg
9165,The Postman,'Comedy'| 'Drama'| 'Romance',3.0_246894.jpg
9164,The Confessional,'Thriller'| 'Drama'| 'Mystery',3.0_81027.jpg
9163,The Indian in the Cupboard,'Adventure'| 'Family'| 'Fantasy',3.0_84796.jpg
9162,Eye for an Eye,'Drama'| 'Thriller',3.0_91934.jpg
9161,Mr. Holland's Opus,'Music'| 'Drama'| 'Family',3.0_92532.jpg
9160,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,'Comedy',3.1_110647.jpg
9159,Two If by Sea,'Comedy'| 'Romance',3.1_223251.jpg
9158,Bio-Dome,'Comedy',3.1_82213.jpg
9157,Lawnmower Man 2: Beyond Cyberspace,'Action'| 'Science Fiction',3.2_113438.jpg
9156,French Twist,'Comedy'| 'Romance',3.2_115624.jpg
9155,Friday,'Comedy',3.2_165494.jpg
9154,From Dusk Till Dawn,'Horror'| 'Action'| 'Thriller'| 'Crime',3.2_28174.jpg
9153,Fair Game,'Action'| 'Thriller'| 'Romance',3.2_47127.jpg
9152,Kicking and Screaming,'Comedy'| 'Drama'| 'Romance',3.2_83170.jpg
9151,Les Miserables,'Drama'| 'History',3.2_99969.jpg
9150,Bed of Roses,'Drama'| 'Romance',3.3_110857.jpg
9149,Screamers,'Horror'| 'Science Fiction',3.3_250282.jpg
9148,Nico Icon,'Documentary',3.3_295254.jpg
9147,The Crossing Guard,'Drama'| 'Thriller',3.3_295427.jpg
